Address,Latitude,Longitude,Type
Megenagna,9.0204692,38.8024029,"bus_station,establishment,point_of_interest,transit_station"
yod abissinia,8.9967992,38.7317707,"establishment,food,point_of_interest,restaurant"
yober,8.9922682,38.7824893,"establishment,lodging,point_of_interest"
wolo sefer,8.992472,38.7754249,"neighborhood,political"
wello sefer,8.9924014,38.7757111,"establishment,mosque,place_of_worship,point_of_interest,premise"
washington hotel,9.0023668,38.7800856,"establishment,lodging,point_of_interest"
tafo condominium,9.0358725,38.8782489,"establishment,point_of_interest"
summit condominium,8.9902515,38.8558538,"establishment,point_of_interest"
summit,9.0027996,38.8528952,"establishment,place_of_worship,point_of_interest"
sheger building,8.9987784,38.7852989,premise
segnal,8.9963648,38.7593193,"bank,establishment,finance,point_of_interest"
sarbet fantu supermarket,8.9919228,38.7819941,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
rwanda,8.9876357,38.7771485,route
ramada hotel,8.991897,38.782873,"establishment,lodging,point_of_interest"
ramada,8.991897,38.782873,"establishment,lodging,point_of_interest"
radisen blue,9.016298,38.767855,"establishment,lodging,point_of_interest"
pizza ,8.9948244,38.7282121,"establishment,food,point_of_interest,restaurant"
piassa,9.0371838,38.7551432,"neighborhood,political"
olompia,9.0043588,38.7680892,"bus_station,establishment,point_of_interest,transit_station"
nambin embassy,8.9931813,38.7778361,"embassy,establishment,point_of_interest"
mexico,9.0102287,38.7445091,"bank,establishment,finance,point_of_interest"
meskel flower,8.9957193,38.7666632,route
megenagna,9.0204692,38.8024029,"bus_station,establishment,point_of_interest,transit_station"
mega building,8.9999798,38.7701506,premise
marriot ,9.010417,38.765156,"establishment,lodging,point_of_interest"
legetafo aba kiros,9.0578204,38.8798571,"church,establishment,place_of_worship,point_of_interest"
lebu ,8.9474532,38.734282,"bank,establishment,finance,point_of_interest"
lebu,8.9474532,38.734282,"bank,establishment,finance,point_of_interest"
lafto sefer,8.9690508,38.7420548,"neighborhood,political"
lafto ,8.9574951,38.7263453,"political,sublocality,sublocality_level_1"
lafto,8.9574951,38.7263453,"political,sublocality,sublocality_level_1"
koreya hospital,8.9994166,38.8077972,"establishment,hospital,point_of_interest"
king hotel,8.9980406,38.7398127,"establishment,lodging,point_of_interest"
kera pepsi ,8.983216,38.7559611,"establishment,point_of_interest,premise"
kebe ,8.9956646,38.7923866,"cafe,establishment,food,point_of_interest"
kazanchis nib bank,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
kazanchis,9.0165737,38.7760791,"neighborhood,political"
japan embassy,9.0114665,38.8065185,"embassy,establishment,point_of_interest"
hilton ,9.018495,38.76496,"establishment,lodging,point_of_interest"
getu commercial,9.0023505,38.7694194,"establishment,point_of_interest"
gerji unity,9.0011031,38.8077972,"establishment,point_of_interest,university"
gerji   ,9.0062194,38.8231602,"neighborhood,political"
genet hotel,9.003332,38.7477141,"establishment,lodging,point_of_interest"
garden coffee,8.9924294,38.7396507,"cafe,establishment,food,point_of_interest"
friendship hotel,8.9940225,38.7847689,"establishment,lodging,point_of_interest"
friendship business center,8.989722,38.7861854,"establishment,point_of_interest,shopping_mall"
friendship BCT,8.9940225,38.7847689,"establishment,lodging,point_of_interest"
ethiopia airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
ESA effoy piza,9.0025438,38.7796968,"establishment,food,point_of_interest,restaurant"
englsih embassy,9.0305289,38.788079,"embassy,establishment,point_of_interest"
efoy piza,9.0025438,38.7796968,"establishment,food,point_of_interest,restaurant"
ednamall,8.9973888,38.7867701,"establishment,point_of_interest,shopping_mall"
edna monrak hotel,8.9946281,38.7855226,"establishment,lodging,point_of_interest"
edna mole ,8.9973888,38.7867701,"establishment,point_of_interest,shopping_mall"
edna mall,8.9973888,38.7867701,"establishment,point_of_interest,shopping_mall"
denbel,9.004895,38.767084,"establishment,point_of_interest,shopping_mall"
cmc legend furniture ,8.9914718,38.7731425,"establishment,furniture_store,home_goods_store,point_of_interest,store"
cmc compound,9.0205438,38.8476442,"establishment,point_of_interest"
boston ,8.9907495,38.7837711,"establishment,point_of_interest,spa"
bole terminal 2,8.9800689,38.7989319,"airport,establishment,point_of_interest"
bole rwanda,8.9869641,38.7806332,"establishment,point_of_interest,taxi_stand"
bole ruwanda,8.9869641,38.7806332,"establishment,point_of_interest,taxi_stand"
bole medhanialem,8.9960687,38.7894876,"church,establishment,place_of_worship,point_of_interest"
bole japan,9.0114665,38.8065185,"embassy,establishment,point_of_interest"
bole dc lounge,8.9906191,38.7838173,"bar,establishment,night_club,point_of_interest"
bole bras,8.9900395,38.7935202,"establishment,hospital,point_of_interest"
bole batca restaurant ,8.9989801,38.7707893,"establishment,food,point_of_interest,restaurant"
bole,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
bisrate gebreal,8.9914822,38.7266726,"church,establishment,place_of_worship,point_of_interest"
beherawi theather,9.0162866,38.7523621,"establishment,point_of_interest"
beer garden,8.9951291,38.7862992,"bar,establishment,food,lodging,point_of_interest,restaurant"
ayer tena sami cofee,8.982712,38.6983913,"establishment,food,point_of_interest,restaurant"
ayat zone 8,9.0234472,38.8717911,"establishment,point_of_interest"
ayat zone 1,9.0234472,38.8717911,"establishment,point_of_interest"
aware patatican embassy,8.9886199,38.7362266,"embassy,establishment,point_of_interest"
AU,8.9996132,38.7402231,"bank,establishment,finance,point_of_interest"
atlas,9.0037118,38.7805761,"establishment,lodging,point_of_interest"
anyar nesgid birchiko,9.0330252,38.7388844,"establishment,mosque,place_of_worship,point_of_interest"
airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
6kilo ,9.0438158,38.7611979,"establishment,point_of_interest"
5kilo country house,9.024717,38.790602,"establishment,lodging,point_of_interest"
4amada,8.991931,38.782862,"establishment,lodging,point_of_interest"
22 nexus plaza,9.0076114,38.805524,"establishment,lodging,point_of_interest"
 gurd shola,9.0177958,38.8159694,"neighborhood,political"
tulion dea hotel,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
tezena hospital,8.9952728,38.7155465,"establishment,hospital,point_of_interest"
sherger,8.9196225,38.7629131,premise
old airport,9.0036905,38.7252246,"airport,establishment,point_of_interest"
kotebeay,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
kazancis,9.0165737,38.7760791,"neighborhood,political"
kazanchis  ,9.0165737,38.7760791,"neighborhood,political"
jemo 3,8.9600119,38.7052417,"establishment,point_of_interest,premise"
gotera,8.9847827,38.7557975,"establishment,point_of_interest"
giga,9.007809,38.823379,"establishment,general_contractor,point_of_interest"
gerji ,9.0062194,38.8231602,"neighborhood,political"
federal police mexico,9.0099504,38.7436728,"establishment,point_of_interest"
eva,9.0099504,38.7436728,"establishment,point_of_interest"
dream liner,8.9951333,38.7670022,"bar,establishment,lodging,point_of_interest"
cmc,9.0082027,38.8510787,"establishment,health,point_of_interest"
ccd,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
boston spa,8.9907495,38.7837711,"establishment,point_of_interest,spa"
bole medhaialem,8.9960687,38.7894876,"church,establishment,place_of_worship,point_of_interest"
bole  ,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
bole ,8.9831138,38.8100855,"political,sublocality,sublocality_level_1"
azi,9.0010642,38.7827377,"establishment,lodging,point_of_interest"
4kilo,9.0361657,38.7630358,"bus_station,establishment,point_of_interest,transit_station"
22,9.0155525,38.7871168,premise
18,9.0162255,38.7872096,street_address
yugo church,8.9928348,38.7918998,"church,establishment,place_of_worship,point_of_interest"
wabishebele ,9.0122623,38.7468421,"establishment,lodging,point_of_interest"
via via,9.0017305,38.7825141,"establishment,food,point_of_interest,restaurant"
tracon bulding,9.022452,38.7519386,"establishment,point_of_interest"
tomoca coffee,9.0308647,38.7507747,"cafe,establishment,food,point_of_interest"
tirkish embassy,8.9971033,38.7767306,"embassy,establishment,point_of_interest"
summit pepsi,9.0040823,38.8538752,"establishment,point_of_interest,premise"
summit anbsa bank,9.0050185,38.785311,"bank,establishment,finance,point_of_interest"
silehsi hotel,8.995529,38.787224,"establishment,lodging,point_of_interest"
sheraton ,9.015466,38.769788,"establishment,lodging,point_of_interest"
saromari hote,8.9943528,38.7852252,"establishment,lodging,point_of_interest"
sarbet,8.9928215,38.7382435,"bus_station,establishment,point_of_interest,transit_station"
safayer hotel,9.0001579,38.7833704,"establishment,lodging,point_of_interest"
rwanda embassy,8.9881665,38.7769854,"embassy,establishment,point_of_interest"
rre restaurant,8.9989801,38.7707893,"establishment,food,point_of_interest,restaurant"
